# extract_institutional_competence.py started 2026-06-02T19:20:28.800287+00:00
======================================================================
Estonian Legal Ontology - Institutional Competence Extraction
======================================================================

  Found 16061 law files to process
  Loaded 113 canonical institution suffixes

[1/4] Processing law files (per-file idempotent)...
  WARN: truncating Kohalik omavalitsus / enforcement appliesToProvision from 347 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Kohalik omavalitsus / general appliesToProvision from 4181 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Kohalik omavalitsus / regulation appliesToProvision from 68 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Kohalik omavalitsus / supervision appliesToProvision from 149 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Kohus / general appliesToProvision from 1359 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating kommunikatsiooniministri / general appliesToProvision from 79 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Konkurentsiameti / general appliesToProvision from 177 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Kultuuriministeeriumi / enforcement appliesToProvision from 59 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Kultuuriministeeriumi / general appliesToProvision from 210 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating kultuuriminister / general appliesToProvision from 157 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating linn / general appliesToProvision from 1099 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Linnavaraameti / general appliesToProvision from 59 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Maa- ja Ruumiamet / general appliesToProvision from 123 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating maakohus / general appliesToProvision from 68 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Majandus- ja Kommunikatsiooniministeeriumi / general appliesToProvision from 221 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Maksu- ja Tolliamet / general appliesToProvision from 483 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Muinsuskaitseamet / general appliesToProvision from 106 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Päästeamet / general appliesToProvision from 198 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Patendiamet / general appliesToProvision from 363 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating peaministri / general appliesToProvision from 138 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Politsei- ja Piirivalveametile / general appliesToProvision from 654 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Politsei- ja Piirivalveametile / supervision appliesToProvision from 93 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Põllumajandus- ja Toiduamet / enforcement appliesToProvision from 54 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Põllumajandus- ja Toiduamet / general appliesToProvision from 359 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Põllumajandus- ja Toiduamet / supervision appliesToProvision from 82 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating põllumajandusministri / general appliesToProvision from 69 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Rahandusministeeriumi / general appliesToProvision from 411 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Rahandusminister / general appliesToProvision from 190 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Ravimiamet / general appliesToProvision from 155 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Regionaal- ja Põllumajandusministeerium / general appliesToProvision from 208 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Riigikogu / enforcement appliesToProvision from 91 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Riigikogu / general appliesToProvision from 730 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Riigikohus / general appliesToProvision from 90 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating ringkonnakohus / general appliesToProvision from 70 → 50; full count surfaced as estleg:appliesToProvisionCount
