source,target,predicate
estleg:ABIPOL_Par_38_Lg_3,estleg:AVALIK_Par_49,estleg:references
estleg:ABIPOL_Par_3_Lg_3,estleg:KORS_Par_18,estleg:references
estleg:ABIPOL_Par_4,estleg:ABIPOL_Par_42,estleg:referencedBy
estleg:ABIPOL_Par_4,estleg:ABIPOL_Par_42_Lg_1,estleg:referencedBy
estleg:ABIPOL_Par_4,estleg:ABIPOL_Par_45,estleg:referencedBy
estleg:ABIPOL_Par_4,estleg:ABIPOL_Par_45_Lg_1,estleg:referencedBy
estleg:ABIPOL_Par_42,estleg:ABIPOL_Par_4,estleg:references
estleg:ABIPOL_Par_42_1_Lg_2,estleg:ABIPOL_Par_3,estleg:references
estleg:ABIPOL_Par_42_4,estleg:ABIPOL_Par_8,estleg:references
estleg:ABIPOL_Par_42_4_Lg_1,estleg:ABIPOL_Par_8,estleg:references
estleg:ABIPOL_Par_42_Lg_1,estleg:ABIPOL_Par_4,estleg:references
estleg:ABIPOL_Par_43,estleg:ABIPOL_Par_44,estleg:referencedBy
estleg:ABIPOL_Par_43,estleg:ABIPOL_Par_44_Lg_2,estleg:referencedBy
estleg:ABIPOL_Par_43,estleg:KARIST_2_Osa1_Par_83,estleg:references
estleg:ABIPOL_Par_43_Lg_2,estleg:KARIST_2_Osa1_Par_83,estleg:references
estleg:ABIPOL_Par_44,estleg:ABIPOL_Par_43,estleg:references
estleg:ABIPOL_Par_44_Lg_2,estleg:ABIPOL_Par_43,estleg:references
estleg:ABIPOL_Par_45,estleg:ABIPOL_Par_4,estleg:references
estleg:ABIPOL_Par_45_1,estleg:ABIPOL_Par_38,estleg:references
estleg:ABIPOL_Par_45_1_Lg_Unknown_1,estleg:ABIPOL_Par_38,estleg:references
estleg:ABIPOL_Par_45_Lg_1,estleg:ABIPOL_Par_4,estleg:references
estleg:ABIPOL_Par_4_Lg_1_1,estleg:ABIPOL_Par_3,estleg:references
estleg:ABIPOL_Par_5,estleg:ABIPOL_Par_6,estleg:referencedBy
estleg:ABIPOL_Par_5,estleg:ABIPOL_Par_6_Lg_1,estleg:referencedBy
estleg:ABIPOL_Par_6,estleg:ABIPOL_Par_5,estleg:references
estleg:ABIPOL_Par_6,estleg:ABIPOL_Par_7,estleg:referencedBy
estleg:ABIPOL_Par_6,estleg:ABIPOL_Par_7_Lg_1,estleg:referencedBy
estleg:ABIPOL_Par_6_Lg_1,estleg:ABIPOL_Par_5,estleg:references
estleg:ABIPOL_Par_6_Lg_1_2,estleg:KORS_Par_18,estleg:references
estleg:ABIPOL_Par_6_Lg_1_3,estleg:KORS_Par_18,estleg:references
estleg:ABIPOL_Par_7,estleg:ABIPOL_Par_6,estleg:references
estleg:ABIPOL_Par_7_Lg_1,estleg:ABIPOL_Par_6,estleg:references
estleg:ABIPOL_Par_7_Lg_3_1,estleg:ABIPOL_Par_3,estleg:references
estleg:ABIPOL_Par_8,estleg:ABIPOL_Par_10,estleg:referencedBy
estleg:ABIPOL_Par_8,estleg:ABIPOL_Par_10_Lg_1,estleg:referencedBy
estleg:ABIPOL_Par_8,estleg:ABIPOL_Par_12_Lg_2,estleg:referencedBy
estleg:ABIPOL_Par_8,estleg:ABIPOL_Par_42_4,estleg:referencedBy
estleg:ABIPOL_Par_8,estleg:ABIPOL_Par_42_4_Lg_1,estleg:referencedBy
estleg:ABIPOL_Par_8_Lg_2,estleg:ABIPOL_Par_3,estleg:references
