iri,caseNumber,date,ecli,chamber
estleg:RK_2_16_15449_154,2-16-15449/154,2020-02-19,ECLI:EE:RK:2020:2.16.15449.154,
estleg:RK_2_16_15722_123,2-16-15722/123,2020-04-22,ECLI:EE:RK:2020:2.16.15722.123,Tsiviilkolleegium
estleg:RK_2_16_16510_193,2-16-16510/193,2020-06-10,ECLI:EE:RK:2020:2.16.16510.193,Tsiviilkolleegium
estleg:RK_2_16_17207_84,2-16-17207/84,2020-11-25,ECLI:EE:RK:2020:2.16.17207.84,Tsiviilkolleegium
estleg:RK_2_16_18957_75,2-16-18957/75,2020-09-30,ECLI:EE:RK:2020:2.16.18957.75,Tsiviilkolleegium
estleg:RK_2_16_2060_614,2-16-2060/614,2020-12-16,ECLI:EE:RK:2020:2.16.2060.614,Tsiviilkolleegium
estleg:RK_2_16_5794_201,2-16-5794/201,2020-05-13,ECLI:EE:RK:2020:2.16.5794.201,Tsiviilkolleegium
estleg:RK_2_16_8751_184,2-16-8751/184,2020-09-28,ECLI:EE:RK:2020:2.16.8751.184,Tsiviilkolleegium
estleg:RK_2_16_9796_46,2-16-9796/46,2020-04-15,ECLI:EE:RK:2020:2.16.9796.46,Tsiviilkolleegium
estleg:RK_2_16_9803_49,2-16-9803/49,2020-04-29,ECLI:EE:RK:2020:2.16.9803.49,Tsiviilkolleegium
estleg:RK_2_17_124505_53,2-17-124505/53,2020-05-25,ECLI:EE:RK:2020:2.17.124505.53,Tsiviilkolleegium
estleg:RK_2_17_12857_119,2-17-12857/119,2020-03-04,ECLI:EE:RK:2020:2.17.12857.119,Tsiviilkolleegium
estleg:RK_2_17_13190_83,2-17-13190/83,2020-05-13,ECLI:EE:RK:2020:2.17.13190.83,Tsiviilkolleegium
estleg:RK_2_17_13244_121,2-17-13244/121,2020-02-19,ECLI:EE:RK:2020:2.17.13244.121,Tsiviilkolleegium
estleg:RK_2_17_13855_81,2-17-13855/81,2020-01-03,ECLI:EE:RK:2020:2.17.13855.81,Tsiviilkolleegium
estleg:RK_2_17_1453_135,2-17-1453/135,2020-12-17,ECLI:EE:RK:2020:2.17.1453.135,Tsiviilkolleegium
estleg:RK_2_17_14766_106,2-17-14766/106,2020-04-09,ECLI:EE:RK:2020:2.17.14766.106,Tsiviilkolleegium
estleg:RK_2_17_16812_57,2-17-16812/57,2020-05-27,ECLI:EE:RK:2020:2.17.16812.57,Tsiviilkolleegium
estleg:RK_2_17_17756_159,2-17-17756/159,2020-10-28,ECLI:EE:RK:2020:2.17.17756.159,Tsiviilkolleegium
estleg:RK_2_17_17756_160,2-17-17756/160,2020-10-28,ECLI:EE:RK:2020:2.17.17756.160,Tsiviilkolleegium
estleg:RK_2_17_18069_322,2-17-18069/322,2020-01-29,ECLI:EE:RK:2020:2.17.18069.322,Tsiviilkolleegium
estleg:RK_2_17_18305_45,2-17-18305/45,2020-10-21,ECLI:EE:RK:2020:2.17.18305.45,Tsiviilkolleegium
estleg:RK_2_17_19454_78,2-17-19454/78,2020-03-25,ECLI:EE:RK:2020:2.17.19454.78,Tsiviilkolleegium
estleg:RK_2_17_2152_74,2-17-2152/74,2020-04-30,ECLI:EE:RK:2020:2.17.2152.74,Tsiviilkolleegium
estleg:RK_2_17_3860_34,2-17-3860/34,2020-03-27,ECLI:EE:RK:2020:2.17.3860.34,Tsiviilkolleegium
estleg:RK_2_17_5110_111,2-17-5110/111,2020-12-02,ECLI:EE:RK:2020:2.17.5110.111,Tsiviilkolleegium
estleg:RK_2_17_6487_155,2-17-6487/155,2020-12-09,ECLI:EE:RK:2020:2.17.6487.155,Tsiviilkolleegium
estleg:RK_2_17_7157_40,2-17-7157/40,2020-11-18,ECLI:EE:RK:2020:2.17.7157.40,Tsiviilkolleegium
